Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,TotalIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000055,Female,Yes,1,Graduate,Yes,11500,0,11500,286,360,0,Urban,N
LP000056,Male,Yes,2,Graduate,No,2708,1167,3875,97,360,1,Semiurban,Y
LP000057,Male,Yes,0,Graduate,No,2132,1591,3723,96,360,1,Semiurban,Y
LP000058,Male,Yes,0,Graduate,No,3366,2200,5566,135,360,1,Rural,N
LP000059,Male,Yes,1,Graduate,No,8080,2250,10330,180,360,1,Urban,Y
LP000060,Male,Yes,2,NotGraduate,No,3357,2859,6216,144,360,1,Urban,Y
LP000061,Male,Yes,0,Graduate,No,2500,3796,6296,120,360,1,Urban,Y
LP000062,Male,Yes,3,Graduate,No,3029,0,3029,99,360,1,Urban,Y
LP000063,Male,Yes,0,NotGraduate,Yes,2609,3449,6058,165,180,0,Rural,N
LP000064,Male,Yes,1,Graduate,No,4945,0,4945,,360,0,Rural,N
LP000065,Female,No,0,Graduate,No,4166,0,4166,116,360,0,Semiurban,N
LP000066,Male,Yes,0,Graduate,No,5726,4595,10321,258,360,1,Semiurban,N
LP000067,Male,No,0,NotGraduate,No,3200,2254,5454,126,180,0,Urban,N
LP000068,Male,Yes,1,Graduate,No,10750,0,10750,312,360,1,Urban,Y
LP000069,Male,Yes,3,NotGraduate,Yes,7100,0,7100,125,60,1,Urban,Y
LP000070,Female,No,0,Graduate,No,4300,0,4300,136,360,0,Semiurban,N
LP000071,Male,Yes,0,Graduate,No,3208,3066,6274,172,360,1,Urban,Y
LP000072,Male,Yes,2,NotGraduate,Yes,1875,1875,3750,97,360,1,Semiurban,Y
LP000073,Male,No,0,Graduate,No,3500,0,3500,81,300,1,Semiurban,Y
LP000074,Male,Yes,3,NotGraduate,No,4755,0,4755,95,,0,Semiurban,N
LP000075,Male,Yes,3,Graduate,Yes,5266,1774,7040,187,360,1,Semiurban,Y
LP000076,Male,No,0,Graduate,No,3750,0,3750,113,480,1,Urban,N
LP000077,Male,No,0,Graduate,No,3750,4750,8500,176,360,1,Urban,N
LP000078,Male,Yes,1,Graduate,Yes,1000,3022,4022,110,360,1,Urban,N
LP000079,Male,Yes,3,Graduate,No,3167,4000,7167,180,300,0,Semiurban,N
LP000080,Male,Yes,3,NotGraduate,Yes,3333,2166,5499,130,360,,Semiurban,Y
LP000081,Female,No,0,Graduate,No,3846,0,3846,111,360,1,Semiurban,Y
LP000082,Male,Yes,1,Graduate,Yes,2395,0,2395,,360,1,Semiurban,Y
LP000083,Female,Yes,2,Graduate,No,1378,1881,3259,167,360,1,Urban,N
LP000084,Male,Yes,0,Graduate,No,6000,2250,8250,265,360,,Semiurban,N
LP000085,Male,Yes,1,Graduate,No,3988,0,3988,50,240,1,Urban,Y
LP000086,Male,No,0,Graduate,No,2366,2531,4897,136,360,1,Semiurban,Y
LP000087,Male,Yes,2,NotGraduate,No,3333,2000,5333,99,360,,Semiurban,Y
LP000088,Male,Yes,0,Graduate,No,2500,2118,4618,104,360,1,Semiurban,Y
LP000089,Male,No,0,Graduate,No,8566,0,8566,210,360,1,Urban,Y
LP000090,Male,Yes,0,Graduate,No,5695,4167,9862,175,360,1,Semiurban,Y
LP000091,Male,Yes,0,Graduate,No,2958,2900,5858,131,360,1,Semiurban,Y
LP000092,Male,Yes,2,Graduate,No,6250,5654,11904,188,180,1,Semiurban,Y
LP000093,Male,Yes,2,NotGraduate,No,3273,1820,5093,81,360,1,Urban,Y
LP000094,Male,No,0,Graduate,No,4133,0,4133,122,360,1,Semiurban,Y
LP000095,Male,No,0,NotGraduate,No,3620,0,3620,25,120,1,Semiurban,Y
LP000096,Male,No,0,Graduate,,6782,0,6782,,360,,Urban,N
LP000097,Female,Yes,0,Graduate,No,2484,2302,4786,137,360,1,Semiurban,Y
LP000098,Male,Yes,0,Graduate,No,1977,997,2974,50,360,1,Semiurban,Y
LP000099,Male,Yes,0,NotGraduate,No,4188,0,4188,115,180,1,Semiurban,Y
LP000100,Male,Yes,0,Graduate,No,1759,3541,5300,131,360,1,Semiurban,Y
LP000101,Male,Yes,2,NotGraduate,No,4288,3263,7551,133,180,1,Urban,Y
LP000102,Male,No,0,Graduate,No,4843,3806,8649,151,360,1,Semiurban,Y
LP000103,Male,Yes,,Graduate,No,13650,0,13650,,360,1,Urban,Y
LP000104,Male,Yes,0,Graduate,No,4652,3583,8235,,360,1,Semiurban,Y
LP000105,Male,,,Graduate,No,3816,754,4570,160,360,1,Urban,Y
LP000106,Male,Yes,1,Graduate,No,3052,1030,4082,100,360,1,Urban,Y
LP000107,Male,Yes,2,Graduate,No,11417,1126,12543,225,360,1,Urban,Y
LP000108,Male,No,0,NotGraduate,,7333,0,7333,120,360,1,Rural,N
LP000109,Male,Yes,2,Graduate,No,3800,3600,7400,216,360,0,Urban,N
LP000110,Male,Yes,3,NotGraduate,No,2071,754,2825,94,480,1,Semiurban,Y
LP000111,Male,No,0,Graduate,No,5316,0,5316,136,360,1,Urban,Y
LP000112,Female,Yes,0,Graduate,,2929,2333,5262,139,360,1,Semiurban,Y
LP000113,Male,Yes,0,NotGraduate,No,3572,4114,7686,152,,0,Rural,N
LP000114,Female,No,1,Graduate,Yes,7451,0,7451,,360,1,Semiurban,Y
LP000115,Male,No,0,Graduate,,5050,0,5050,118,360,1,Semiurban,Y
LP000116,Male,Yes,1,Graduate,No,14583,0,14583,185,180,1,Rural,Y
LP000117,Female,Yes,0,Graduate,No,3167,2283,5450,154,360,1,Semiurban,Y
LP000118,Male,Yes,1,Graduate,No,2214,1398,3612,85,360,,Urban,Y
LP000119,Male,Yes,0,Graduate,No,5568,2142,7710,175,360,1,Rural,N
LP000120,Female,No,0,Graduate,No,10408,0,10408,259,360,1,Urban,Y
LP000121,Male,Yes,,Graduate,No,5667,2667,8334,180,360,1,Rural,Y
LP000122,Female,No,0,Graduate,No,4166,0,4166,44,360,1,Semiurban,Y
LP000123,Female,No,0,Graduate,No,2137,8980,11117,137,360,0,Semiurban,Y
LP000124,Male,Yes,2,Graduate,No,2957,0,2957,81,360,1,Semiurban,Y
LP000125,Male,Yes,0,NotGraduate,No,4300,2014,6314,194,360,1,Rural,Y
LP000126,Female,No,0,Graduate,No,3692,0,3692,93,360,,Rural,Y
LP000127,,Yes,3,Graduate,No,23803,0,23803,370,360,1,Rural,Y
LP000128,Male,No,0,Graduate,No,3865,1640,5505,,360,1,Rural,Y
LP000129,Male,Yes,1,Graduate,Yes,10513,3850,14363,160,180,0,Urban,N
LP000130,Male,Yes,0,Graduate,No,6080,2569,8649,182,360,,Rural,N
LP000131,Male,No,0,Graduate,Yes,20166,0,20166,650,480,,Urban,Y
LP000132,Male,No,0,Graduate,No,2014,1929,3943,74,360,1,Urban,Y
LP000133,Male,No,0,Graduate,No,2718,0,2718,70,360,1,Semiurban,Y
LP000134,Male,Yes,0,Graduate,Yes,3459,0,3459,25,120,1,Semiurban,Y
LP000135,Male,No,0,Graduate,No,4895,0,4895,102,360,1,Semiurban,Y
LP000136,Male,Yes,3,Graduate,No,4000,7750,11750,290,360,1,Semiurban,N
LP000137,Female,Yes,0,Graduate,No,4583,0,4583,84,360,1,Rural,N
LP000138,Male,Yes,2,Graduate,Yes,3316,3500,6816,88,360,1,Urban,Y
LP000139,Male,No,0,Graduate,No,14999,0,14999,242,360,0,Semiurban,N
LP000140,Male,Yes,2,NotGraduate,No,4200,1430,5630,129,360,1,Rural,N
LP000141,Male,Yes,2,Graduate,No,5042,2083,7125,185,360,1,Rural,N
LP000142,Male,No,0,Graduate,No,5417,0,5417,168,360,1,Urban,Y
LP000143,Male,No,0,Graduate,Yes,6950,0,6950,175,180,1,Semiurban,Y
LP000144,Male,Yes,0,Graduate,No,2698,2034,4732,122,360,1,Semiurban,Y
LP000145,Male,Yes,2,Graduate,No,11757,0,11757,187,180,1,Urban,Y
LP000146,Female,Yes,0,Graduate,No,2330,4486,6816,100,360,1,Semiurban,Y
LP000147,Female,Yes,2,Graduate,No,14866,0,14866,70,360,1,Urban,Y
LP000148,Male,Yes,1,Graduate,No,1538,1425,2963,30,360,1,Urban,Y
LP000149,Female,No,0,Graduate,No,10000,1666,11666,225,360,1,Rural,N
LP000150,Male,Yes,0,Graduate,No,4860,830,5690,125,360,1,Semiurban,Y
LP000151,Male,No,0,Graduate,No,6277,0,6277,118,360,0,Rural,N
LP000152,Male,Yes,0,Graduate,Yes,2577,3750,6327,152,360,1,Rural,Y
LP000153,Male,No,0,Graduate,No,9166,0,9166,244,360,1,Urban,N
LP000154,Male,Yes,2,NotGraduate,No,2281,0,2281,113,360,1,Rural,N
LP000155,Male,No,0,Graduate,No,3254,0,3254,50,360,1,Urban,Y
LP000156,Male,Yes,3,Graduate,No,39999,0,39999,600,180,0,Semiurban,Y
LP000157,Male,Yes,1,Graduate,No,6000,0,6000,160,360,,Rural,Y
LP000158,Male,Yes,1,Graduate,No,9538,0,9538,187,360,1,Urban,Y
LP000159,Male,No,0,Graduate,,2980,2083,5063,120,360,1,Rural,Y
LP000160,Male,Yes,0,Graduate,No,4583,5625,10208,255,360,1,Semiurban,Y
LP000161,Male,Yes,0,NotGraduate,No,1863,1041,2904,98,360,1,Semiurban,Y
LP000162,Male,Yes,0,Graduate,No,7933,0,7933,275,360,1,Urban,N
LP000163,Male,Yes,1,Graduate,No,3089,1280,4369,121,360,0,Semiurban,N
LP000164,Male,Yes,2,Graduate,No,4167,1447,5614,158,360,1,Rural,Y
LP000165,Male,Yes,0,Graduate,No,9323,0,9323,75,180,1,Urban,Y
LP000166,Male,Yes,0,Graduate,No,3707,3166,6873,182,,1,Rural,Y
LP000167,Female,Yes,0,Graduate,No,4583,0,4583,112,360,1,Rural,N
LP000168,Male,Yes,0,Graduate,No,2439,3333,5772,129,360,1,Rural,Y
LP000169,Male,No,0,Graduate,No,2237,0,2237,63,480,0,Semiurban,N
LP000170,Male,Yes,2,Graduate,No,8000,0,8000,200,360,1,Semiurban,Y
LP000171,Male,Yes,0,NotGraduate,,1820,1769,3589,95,360,1,Rural,Y
LP000172,,Yes,3,Graduate,No,51763,0,51763,700,300,1,Urban,Y
LP000173,Male,Yes,3,NotGraduate,No,3522,0,3522,81,180,1,Rural,N
LP000174,Male,Yes,0,Graduate,No,5708,5625,11333,187,360,1,Semiurban,Y
LP000175,Male,Yes,0,NotGraduate,Yes,4344,736,5080,87,360,1,Semiurban,N
LP000176,Male,Yes,0,Graduate,No,3497,1964,5461,116,360,1,Rural,Y
LP000177,Male,Yes,2,Graduate,No,2045,1619,3664,101,360,1,Rural,Y
LP000178,Male,Yes,3,Graduate,No,5516,11300,16816,495,360,0,Semiurban,N
LP000179,Male,Yes,1,Graduate,No,3750,0,3750,116,360,1,Semiurban,Y
LP000180,Male,No,0,NotGraduate,No,2333,1451,3784,102,480,0,Urban,N
LP000181,Male,Yes,1,Graduate,No,6400,7250,13650,180,360,0,Urban,N
LP000182,Male,No,0,Graduate,No,1916,5063,6979,67,360,,Rural,N
LP000183,Male,Yes,0,Graduate,No,4600,0,4600,73,180,1,Semiurban,Y
LP000184,Male,Yes,1,Graduate,No,33846,0,33846,260,360,1,Semiurban,N
LP000185,Female,Yes,0,Graduate,No,3625,0,3625,108,360,1,Semiurban,Y
LP000186,Male,Yes,0,Graduate,Yes,39147,4750,43897,120,360,1,Semiurban,Y
LP000187,Male,Yes,1,Graduate,Yes,2178,0,2178,66,300,0,Rural,N
LP000188,Male,Yes,0,Graduate,No,2383,2138,4521,58,360,,Rural,Y
LP000189,,Yes,0,Graduate,Yes,674,5296,5970,168,360,1,Rural,Y
LP000190,Male,Yes,0,Graduate,No,9328,0,9328,188,180,1,Rural,Y
LP000191,Male,No,0,NotGraduate,No,4885,0,4885,48,360,1,Rural,Y
LP000192,Male,No,0,Graduate,No,12000,0,12000,164,360,1,Semiurban,N
LP000193,Male,Yes,0,NotGraduate,No,6033,0,6033,160,360,1,Urban,N
LP000194,Male,No,0,Graduate,No,3858,0,3858,76,360,1,Semiurban,Y
LP000195,Male,No,0,Graduate,No,4191,0,4191,120,360,1,Rural,Y
LP000196,Male,Yes,1,Graduate,No,3125,2583,5708,170,360,1,Semiurban,N
LP000197,Male,No,0,Graduate,No,8333,3750,12083,187,360,1,Rural,Y
LP000198,Female,No,0,NotGraduate,No,1907,2365,4272,120,,1,Urban,Y
LP000199,Female,Yes,0,Graduate,No,3416,2816,6232,113,360,,Semiurban,Y
LP000200,Male,No,0,Graduate,Yes,11000,0,11000,83,360,1,Urban,N
LP000201,Male,Yes,1,NotGraduate,No,2600,2500,5100,90,360,1,Semiurban,Y
LP000202,Male,No,2,Graduate,No,4923,0,4923,166,360,0,Semiurban,Y
LP000203,Male,Yes,3,NotGraduate,No,3992,0,3992,,180,1,Urban,N
LP000204,Male,Yes,1,NotGraduate,No,3500,1083,4583,135,360,1,Urban,Y
LP000205,Male,Yes,2,NotGraduate,No,3917,0,3917,124,360,1,Semiurban,Y
LP000206,Female,No,0,NotGraduate,No,4408,0,4408,120,360,1,Semiurban,Y
LP000207,Female,No,0,Graduate,No,3244,0,3244,80,360,1,Urban,Y
LP000208,Male,No,0,NotGraduate,No,3975,2531,6506,55,360,1,Rural,Y
LP000209,Male,No,0,Graduate,No,2479,0,2479,59,360,1,Urban,Y
LP000210,Male,No,0,Graduate,No,3418,0,3418,127,360,1,Semiurban,N
LP000211,Female,No,0,Graduate,No,10000,0,10000,214,360,1,Semiurban,N
LP000212,Male,Yes,3,Graduate,No,3430,1250,4680,128,360,0,Semiurban,N
LP000213,Male,Yes,1,Graduate,Yes,7787,0,7787,240,360,1,Urban,Y
LP000214,Male,Yes,3,NotGraduate,Yes,5703,0,5703,130,360,1,Rural,Y
LP000215,Male,Yes,0,Graduate,No,3173,3021,6194,137,360,1,Urban,Y
LP000216,Male,Yes,3,NotGraduate,No,3850,983,4833,100,360,1,Semiurban,Y
LP000217,Male,Yes,0,Graduate,No,150,1800,1950,135,360,1,Rural,N
LP000218,Male,Yes,0,Graduate,No,3727,1775,5502,131,360,1,Semiurban,Y
LP000219,Male,Yes,2,Graduate,,5000,0,5000,72,360,0,Semiurban,N
LP000220,Female,Yes,2,Graduate,No,4283,2383,6666,127,360,,Semiurban,Y
LP000221,Male,Yes,0,Graduate,No,2221,0,2221,60,360,0,Urban,N
LP000222,Male,Yes,2,Graduate,No,4009,1717,5726,116,360,1,Semiurban,Y
LP000223,Male,No,0,Graduate,No,2971,2791,5762,144,360,1,Semiurban,Y
LP000224,Male,Yes,0,Graduate,No,7578,1010,8588,175,,1,Semiurban,Y
LP000225,Male,Yes,0,Graduate,No,6250,0,6250,128,360,1,Semiurban,Y
LP000226,Male,Yes,0,Graduate,No,3250,0,3250,170,360,1,Rural,N
LP000227,Male,Yes,,NotGraduate,Yes,4735,0,4735,138,360,1,Urban,N
LP000228,Male,Yes,2,Graduate,No,6250,1695,7945,210,360,1,Semiurban,Y
LP000229,Male,,,Graduate,No,4758,0,4758,158,480,1,Semiurban,Y
LP000230,Male,No,0,Graduate,Yes,6400,0,6400,200,360,1,Rural,Y
LP000231,Male,Yes,1,Graduate,No,2491,2054,4545,104,360,1,Semiurban,Y
LP000232,Male,Yes,0,Graduate,,3716,0,3716,42,180,1,Rural,Y
LP000233,Male,No,0,NotGraduate,No,3189,2598,5787,120,,1,Rural,Y
LP000234,Female,No,0,Graduate,No,8333,0,8333,280,360,1,Semiurban,Y
LP000235,Male,Yes,1,Graduate,No,3155,1779,4934,140,360,1,Semiurban,Y
LP000236,Male,Yes,1,Graduate,No,5500,1260,6760,170,360,1,Rural,Y
LP000237,Male,Yes,0,Graduate,,5746,0,5746,255,360,,Urban,N
LP000238,Female,No,0,Graduate,Yes,3463,0,3463,122,360,,Urban,Y
LP000239,Female,No,1,Graduate,No,3812,0,3812,112,360,1,Rural,Y
LP000240,Male,Yes,1,Graduate,No,3315,0,3315,96,360,1,Semiurban,Y
LP000241,Male,Yes,2,Graduate,No,5819,5000,10819,120,360,1,Rural,Y
LP000242,Male,Yes,1,NotGraduate,No,2510,1983,4493,140,180,1,Urban,N
LP000243,Male,No,0,Graduate,No,2965,5701,8666,155,60,1,Urban,Y
LP000244,Male,Yes,2,Graduate,Yes,6250,1300,7550,108,360,1,Rural,Y
LP000245,Male,Yes,0,NotGraduate,No,3406,4417,7823,123,360,1,Semiurban,Y
LP000246,Male,No,0,Graduate,Yes,6050,4333,10383,120,180,1,Urban,N
LP000247,Male,Yes,2,Graduate,No,9703,0,9703,112,360,1,Urban,Y
LP000248,Male,Yes,1,NotGraduate,No,6608,0,6608,137,180,1,Urban,Y
LP000249,Male,Yes,1,Graduate,No,2882,1843,4725,123,480,1,Semiurban,Y
LP000250,Male,Yes,0,Graduate,No,1809,1868,3677,90,360,1,Urban,Y
LP000251,Male,Yes,0,NotGraduate,No,1668,3890,5558,201,360,0,Semiurban,N
LP000252,Female,No,2,Graduate,No,3427,0,3427,138,360,1,Urban,N
LP000253,Male,No,0,NotGraduate,Yes,2583,2167,4750,104,360,1,Rural,Y
LP000254,Male,Yes,1,NotGraduate,No,2661,7101,9762,279,180,1,Semiurban,Y
LP000255,Male,No,0,Graduate,Yes,16250,0,16250,192,360,0,Urban,N
LP000256,Female,No,3,Graduate,No,3083,0,3083,255,360,1,Rural,Y
LP000257,Male,No,0,NotGraduate,No,6045,0,6045,115,360,0,Rural,N
LP000258,Male,Yes,3,Graduate,No,5250,0,5250,94,360,1,Urban,N
LP000259,Male,Yes,0,Graduate,No,14683,2100,16783,304,360,1,Rural,N
LP000260,Male,Yes,3,NotGraduate,No,4931,0,4931,128,360,,Semiurban,N
LP000261,Male,Yes,1,Graduate,No,6083,4250,10333,330,360,,Urban,Y
LP000262,Male,No,0,Graduate,No,2060,2209,4269,134,360,1,Semiurban,Y
LP000263,Female,No,1,Graduate,No,3481,0,3481,155,36,1,Semiurban,N
LP000264,Female,No,0,Graduate,No,7200,0,7200,120,360,1,Rural,Y
LP000265,Male,No,0,Graduate,Yes,5166,0,5166,128,360,1,Semiurban,Y
LP000266,Male,No,0,Graduate,No,4095,3447,7542,151,360,1,Rural,Y
LP000267,Male,Yes,2,Graduate,No,4708,1387,6095,150,360,1,Semiurban,Y
LP000268,Male,Yes,3,Graduate,No,4333,1811,6144,160,360,0,Urban,Y
LP000269,Female,No,0,Graduate,,3418,0,3418,135,360,1,Rural,N
LP000270,Female,No,1,Graduate,No,2876,1560,4436,90,360,1,Urban,Y
LP000271,Female,No,0,Graduate,No,3237,0,3237,30,360,1,Urban,Y
LP000272,Male,Yes,0,Graduate,No,11146,0,11146,136,360,1,Urban,Y
LP000273,Male,No,0,Graduate,No,2833,1857,4690,126,360,1,Rural,Y
LP000274,Male,Yes,0,Graduate,No,2620,2223,4843,150,360,1,Semiurban,Y
LP000275,Male,Yes,2,Graduate,No,3900,0,3900,90,360,1,Semiurban,Y
LP000276,Male,Yes,1,Graduate,No,2750,1842,4592,115,360,1,Semiurban,Y
LP000277,Male,Yes,0,Graduate,No,3993,3274,7267,207,360,1,Semiurban,Y
LP000278,Male,Yes,0,Graduate,No,3103,1300,4403,80,360,1,Urban,Y
LP000279,Male,Yes,0,Graduate,No,14583,0,14583,436,360,1,Semiurban,Y
LP000280,Female,Yes,0,NotGraduate,No,4100,0,4100,124,360,,Rural,Y
LP000281,Male,No,1,NotGraduate,Yes,4053,2426,6479,158,360,0,Urban,N
LP000282,Male,Yes,0,Graduate,No,3927,800,4727,112,360,1,Semiurban,Y
LP000283,Male,Yes,2,Graduate,No,2301,9.857.999.878,9858002179,78,180,1,Urban,Y
LP000284,Female,No,0,Graduate,No,1811,1666,3477,54,360,1,Urban,Y
LP000285,Male,Yes,0,Graduate,No,20667,0,20667,,360,1,Rural,N
LP000286,Male,No,0,Graduate,No,3158,3053,6211,89,360,1,Rural,Y
LP000287,Female,No,0,Graduate,Yes,2600,1717,4317,99,300,1,Semiurban,N
LP000288,Male,Yes,0,Graduate,No,3704,2000,5704,120,360,1,Rural,Y
LP000289,Female,No,0,Graduate,No,4124,0,4124,115,360,1,Semiurban,Y
LP000290,Male,No,0,Graduate,No,9508,0,9508,187,360,1,Rural,Y
LP000291,Male,Yes,0,Graduate,No,3075,2416,5491,139,360,1,Rural,Y
LP000292,Male,Yes,2,Graduate,No,4400,0,4400,127,360,0,Semiurban,N
LP000293,Male,Yes,2,Graduate,No,3153,1560,4713,134,360,1,Urban,Y
LP000294,Female,No,,Graduate,No,5417,0,5417,143,480,0,Urban,N
LP000295,Male,Yes,0,Graduate,No,2383,3334,5717,172,360,1,Semiurban,Y
LP000296,Male,Yes,3,Graduate,,4416,1250,5666,110,360,1,Urban,Y
LP000297,Male,Yes,1,Graduate,No,6875,0,6875,200,360,1,Semiurban,Y
LP000298,Female,Yes,1,Graduate,No,4666,0,4666,135,360,1,Urban,Y
LP000299,Female,No,0,Graduate,No,5000,2541,7541,151,480,1,Rural,N
LP000300,Male,Yes,1,Graduate,No,2014,2925,4939,113,360,1,Urban,N
LP000301,Male,Yes,0,NotGraduate,No,1800,2934,4734,93,360,0,Urban,N
LP000302,Male,Yes,,NotGraduate,No,2875,1750,4625,105,360,1,Semiurban,Y
LP000303,Female,No,0,Graduate,No,5000,0,5000,132,360,1,Rural,Y
LP000304,Male,Yes,1,Graduate,No,1625,1803,3428,96,360,1,Urban,Y
LP000305,Male,No,0,Graduate,No,4000,2500,6500,140,360,1,Rural,Y
LP000306,Male,No,0,NotGraduate,No,2000,0,2000,,360,1,Urban,N
LP000307,Female,No,0,Graduate,No,3762,1666,5428,135,360,1,Rural,Y
LP000308,Female,No,0,Graduate,No,2400,1863,4263,104,360,0,Urban,N
LP000309,Male,No,0,Graduate,No,20233,0,20233,480,360,1,Rural,N
LP000310,Male,Yes,2,NotGraduate,No,7667,0,7667,185,360,,Rural,Y
LP000311,Female,No,0,Graduate,No,2917,0,2917,84,360,1,Semiurban,Y
LP000312,Male,No,0,NotGraduate,No,2927,2405,5332,111,360,1,Semiurban,Y
LP000313,Female,No,0,Graduate,No,2507,0,2507,56,360,1,Rural,Y
LP000314,Male,Yes,2,Graduate,Yes,5746,0,5746,144,84,,Rural,Y
LP000315,,Yes,0,Graduate,No,2473,1843,4316,159,360,1,Rural,N
LP000316,Male,Yes,1,NotGraduate,No,3399,1640,5039,111,180,1,Urban,Y
LP000317,Male,Yes,2,Graduate,No,3717,0,3717,120,360,1,Semiurban,Y
LP000318,Male,Yes,0,Graduate,No,2058,2134,4192,88,360,,Urban,Y
LP000319,Female,No,1,Graduate,No,3541,0,3541,112,360,,Semiurban,Y
LP000320,Male,Yes,1,Graduate,Yes,10000,0,10000,155,360,1,Rural,N
LP000321,Male,Yes,0,Graduate,No,2400,2167,4567,115,360,1,Semiurban,Y
LP000322,Male,Yes,3,Graduate,No,4342,189,4531,124,360,1,Semiurban,Y
LP000323,Male,Yes,2,NotGraduate,No,3601,1590,5191,,360,1,Rural,Y
